SCHEME NAME,CATEGORY,DETAILS,BENEFITS,ELIGIBILITY,GENDER,AGE,RESIDENTIAL STATUS,CASTE AND COMMUNITIES,DISABILITY STATUS,ORPHAN,OCCUPATION,ANNUAL INCOME,EDUCATION LEVEL,MARITAL STATUS,DOCUMENTS REQUIRED
Accident Relief Scheme,"financial assistance, bread winner, accident, death, Financial Assistance","""Accident Relief Scheme"" was launched by the Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu.  aims to provide financial assistance of ₹20,000/- to the legal heirs of the household below poverty line on the death of a “Primary School breadwinner” (male or Female) due to an accident in respect of 44 occupational categories of notified employment as per G.O.Ms.No.471, Finance (CMPRF) Department dated.23.05.1989.","Financial assistance of ₹20,000/- is given to the legal heirs of the household below poverty line.
NOTE: Depending upon the nature of the injury sustained and the degree of physical impairment, relief of ₹5,000 to ₹15,000 is given.","The breadwinner of the family, whether male or Female, must be an earning member., The breadwinner's death was caused by an accident., The family should belong to the BPL category., Legal heirs of the deceased Primary School breadwinner of the family., The family members engaged in the 44 categories (Page No. 139) of notified employment.","Male, Female",,,,,,,,,,"Copy of Ration Card., Copy of Aadhaar Card., First Information Report (FIR)., Death Certificate of the Breadwinner."
Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,"accommodation, Social Welfare, Tribal Welfare, Youth Development, students, education, Education, Tribal welfare, Adi Dravidar, hostels, Education, Social Welfare, Tribal Welfare, Youth Development","“Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides” by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to offer hostel accommodations to students belonging to the Adi Dravidar and Tribal communities. The initiative supports their education by ensuring a safe and structured environment for studying, addressing the housing needs of students from underprivileged backgrounds. The facilities are available for students up to the XII Standard.",Accommodation: Hostel facility for all Boys/ Girls Boarders studying upto XII Standard.,"The beneficiary should be a Student., The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the Adi Dravidar/ Tribal community., The beneficiary should be enrolled within XII Standard (Stn. XII or lower).","Male, Female, Others",,,"Adi Dravidar, Tribal",,,Student,,"Primary School, High School",,"Proof of identity (Aadhar card or any other document as directed by the authority)., Caste certificate (Adi Dravidar/ Tribal community)., Income certificate (if applicable)., Admission/ Enrollment proof in school., Any other documents (if required)."
Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,"financial assistance, Social Welfare, Tribal Welfare, Youth Development, students, education, Education, Subsidy, Adi Dravidar, Tribal welfare, Education, Financial Assistance, Social Welfare, Subsidy, Tribal Welfare, Youth Development","“Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes” by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, provides district-level prizes to students based on their performance in the 10th and 12th standard examinations. The incentives are given to one Boy and one Girl each from Adi Dravidar/ Tribal/ Adi Dravidar Converted to Christianity who have secured the highest mark.","10+2 Examination: ₹3,000/-., 10th Std. First Prize: ₹1,000/-., 10th Std. Second Prize: ₹5,00/-., 10th Std. Third Prize: ₹3,00/-.","The beneficiary should be a Student., The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the Adi Dravidar/ Tribal/ Adi Dravidar (converted to Christianity) community., The beneficiary should have secured the highest marks in 10th or 12th standard exams within the district.","Male, Female, Others",,,"Adi Dravidar, Tribal, Adi Dravidar (converted to christianity)",,,Student,,"Primary School, High School, Postgraduate, Undergraduate",,"Proof of Identity (Aadhaar card)., Mark sheets of the 10th or 12th standard examination., Community certificate (Adi Dravidar/ Tribal/ Adi Dravidar Converted to Christianity)., Bank Account details for prize transfer., Any other documents (if required)."
Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects,"Social Welfare, prizes, Tribal Welfare, Youth Development, incentive, students, Education, Tribal welfare, Adi Dravidar, education, Education, Social Welfare, Tribal Welfare, Youth Development","“Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects” by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, provides financial incentives to promote academic achievement among students from underprivileged communities. One Student each from Adi Dravidar/Tribal/Adi Dravider converted to Christianity for each subject is selected for the awards.","For plus 2 Examination: ₹2,000/-., For 10th Examination: ₹1,000/-.","The beneficiary should be a Student., The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the Adi Dravidar/Tribal/Adi Dravidar converted to Christianity community., The beneficiary must have passed the 10th or Plus 2 examination.","Male, Female, Others",,,"Adi Dravidar, Tribal, Adi Dravidar (converted to christianity)",,,Student,,"Primary School, High School, Undergraduate, Postgraduate, Diploma",,"Proof of identity (Aadhar card or any other document as directed by the authority)., Caste certificate (Adi Dravidar/ Tribal community)., Income certificate (if applicable)., Marksheets of the 10th/Plus 2 examination., Any other documents (if required)."
Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,"Social Welfare, free education, Tribal Welfare, scholarship, Education, Scholarship, Adi Dravidar, Tribal welfare, Education, Scholarship, Social Welfare, Tribal Welfare","“Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All” by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, is designed to support students from Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities by offering free education up to the 12th standard. The tuition fees for eligible students are waived, and the government reimburses the amount, ensuring financial barriers do not hinder access to education.",Reimbursement: Full reimbursement of tuition fees for students up to the 12th standard.,"The beneficiary should be a Student., The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the Adi Dravidar/Tribal/Adi Dravidar converted to Christianity community., The beneficiary must be enrolled in a school up to the 12th standard.","Male, Female, Others",,,"Adi Dravidar, Tribal, Adi Dravidar (converted to christianity)",,,Student,,"Primary School, High School",,"Proof of identity (Aadhar card or any other document as directed by the authority)., Caste certificate Adi Dravidar/Tribal/Adi Dravidar Converted to Christianity community)., Income certificate (if applicable)., Proof of Admission., Any other documents (if required)."
Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std.,"Social Welfare, Tribal Welfare, examination fee, education, scholarship, Education, Scholarship, Adi Dravidar, Tribal welfare, Education, Scholarship, Social Welfare, Tribal Welfare","“Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std.” by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, is designed to support students from the Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities. , the government reimburses the public examination fees for 10th and 12th-standard students directly to the Directorate of Government Examinations. There is no income limit for eligibility under this scheme.",Reimbursement: Full reimbursement on Public Examination fee for 10th and 12th Std. students.,"The beneficiary should be a Student., The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the Adi Dravidar/Tribal/Adi Dravidar converted to Christianity community., The beneficiary must be appearing for public examinations of 10th/12th Std.","Male, Female, Others",,,"Adi Dravidar, Tribal, Adi Dravidar (converted to christianity)",,,Student,,"Primary School, High School",,"Proof of identity (Aadhar card or any other document as directed by the authority)., Caste certificate Adi Dravidar/Tribal/Adi Dravidar Converted to Christianity community)., Public examination registration slip., Any other documents (if required)."
Adi Dravidar and Tribal Welfare Department: Stationary-Text Books,"Social Welfare, Education, text books, Adi Dravidar, education, Tribal Welfare, Tribal welfare, Education, Social Welfare, Tribal Welfare","“Adi Dravidar and Tribal Welfare Department: Stationary-Text Books” by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, is designed to support students from 1st to 12th standard who are enrolled in Adi Dravidar and Tribal welfare schools by offering them free textbooks. This initiative aims to ensure that no student is deprived of education due to a lack of study materials.",Textbooks: Free textbooks for students from 1st to 12th standard.,"The beneficiary should be a Student., The beneficiary should be a resident of Tamil Nadu., The beneficiary should be enrolled in Adi Dravidar and Tribal welfare schools., The beneficiary must be studying in any class between 1st to 12th standard.","Male, Female, Others",,,,,,Student,,"Primary School, High School",,"Proof of identity (Aadhar card or any other document as directed by the authority)., Proof of enrollment in Adi Dravidar and Tribal welfare school., Admission registration slip., Any other documents (if required)."
Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,"Social Welfare, schools, Tribal Welfare, admission assistance, education, Education, Subsidy, Adi Dravidar, Tribal welfare, Education, Social Welfare, Subsidy, Tribal Welfare","“Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools” introduced on 7th May, 2012 by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to enhance the quality of education for Adi Dravidar and Tribal students. It selects the top 10 students from each district who secure the highest marks in Class X from government, municipal, or welfare schools and admits them to Plus One in reputed private schools.  includes coverage of tuition and boarding fees up to Rs. 28,000 per year for the selected students.","Admission Assistance: Free admission into reputed private schools for Plus One., Financial Coverage: ₹28,000/- per year, including boarding charges.","The beneficiary should be a Student., The beneficiary should be currently enrolled in school., The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the Adi Dravidar/Tribal community., The beneficiary must have secured the highest marks in Class X from Government/Corporation/Municipal/Adi Dravidar and Tribal Welfare schools., Beneficiary’s annual family income should be less than ₹1,00,000/-.","Male, Female, Others",,,"Adi Dravidar, Tribal",,,Student,<100000,High School,,"Proof of identity (Aadhar card or any other document as directed by the authority)., Caste certificate (SC/ST)., Income certificate (Annual income less than ₹1,00,000/-)., Marksheet of Class X., Admission registration slip., Any other documents (if required)."
Afforestation Schemes Providing Incentives And Employment To Tribals In Forest,"Employment, Social Welfare, afforestation, Tribal welfare, employment, Tribal Welfare, incentives, Employment, Social Welfare, Tribal Welfare","“Afforestation Schemes Providing Incentives And Employment To Tribals In Forest” by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to incentivize unemployed Tribals by offering grants to participate in forest operations. The program not only focuses on forest conservation through afforestation but also provides a livelihood for Tribal communities living in and around forest areas. The initiative promotes sustainable forest management while creating employment opportunities for these marginalized groups.","Incentive: Financial grants for afforestation activities., Employment: Employment opportunities in forest management.","The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the Tribal community., The beneficiary should be Unemployed.",Female,,,Tribal,,,Unemployed,,,,"Proof of identity (Aadhar card or any other document as directed by the authority)., Identity proof (Aadhar, Voter ID)., Proof of residence in the Tribal/forest area., Unemployment certificate (if applicable)., Community certificate (if applicable)., Any other documents (if required)."
Amma Two Wheeler Scheme for Working Women,"Women Welfare, banking, empowerment, loan, Financial Assistance, women, two wheeler, Women Welfare, Financial Assistance","The Amma two-wheeler working women scheme Department of Social Welfare and Women Empowerment provides a scheme to empower working women by enabling them to purchase women-friendly two-wheelers and to ease their commute to their enterprises, places of employment, and engagements with banks and community-based institutions. Ease of use is a key consideration and therefore the vehicle is gearless/auto-geared. The Differently Abled Mayavaill o retro-fitted three-wheeler scooters. Each year one lakh working women will benefit through this scheme.","The reservation under the Amma two-wheeler scheme is as follows:, 21% of the scheme's allocation is reserved for women belonging to Scheduled Castes., 21% of the scheme's allocation is reserved for women belonging to Scheduled Castes.1% of the scheme’s allocation is reserved for women belonging to Scheduled Tribes.4% of the scheme’s allocation is reserved for differently abled women (across all categories)., 21% of the scheme's allocation is reserved for women belonging to Scheduled Castes.1% of the scheme’s allocation is reserved for women belonging to Scheduled Tribes.4% of the scheme’s allocation is reserved for differently abled women (across all categories)., Subsidy: A beneficiary under this scheme will be provided with a maximum subsidy of 50% of the cost of the vehicle or ₹25,000/- whichever is less, to purchase a brand new motorized gearless / auto-geared two-wheeler whose engine capacity should not exceed 125cc. The balance cost, over and above the subsidy amount, has to be borne by the beneficiary through a bank/institutional loan or her funds., Loan Facilities: The beneficiary can buy the vehicle of her choice from her funds or by availing loans from Banks/Non-Banking Finance Companies (NBFCs) governed by the rules of the Reserve Bank of India (RBI). Reimbursement of subsidy to the beneficiary will be permitted in case the vehicle is purchased from her funds, subject to the fulfillment of the other conditions specified for eligibility","The applicant should be a native of and residing in Tamil Nadu, The applicant should be in the age group of 18 to 40 years, The applicant should know how to drive and possess a valid Two Wheeler / Learner License Registration (LLR) at the time of applying, The annual income of the beneficiary should not exceed ₹ 2,50,000/-, Only woman and only one woman will be eligible to avail of the benefit in a family, The applicant should have appeared for the class 8th examination (Passed/Failed), Priority will be given to working women residing in remote places, hilly regions, women-headed households, deserted women, destitute widows, differently abled women, Unmarried women aged above 35 years, Scheduled Caste/Tribes, and Transgender, If the applicant has applied with a Learner License Registration (LLR), she should get a valid Two Wheeler Driving License before submitting the subsidy claim form, She should also attach a copy of the two Wheeler Driving License to the subsidy claim form, at the time of applying, Further, she should produce the original Driving License for official verification, as and when needed.",Female,18 - 40,,,,,,< 250000,"Primary School, High School, Undergraduate, Postgraduate, Diploma",,"Proof of Age (18 to 40) / Date of Birth, Proof of Residence (EPIC card, Driving License, Aadhar Card, Utility Bills, etc., in the Applicant’s name), Driving License / Learner License Registration (LLR) issued by competent authority, Income Certificate issued by Employer / Self Certification, Proof of Employment issued by the Employer/Organization/Project Head/Society in case of Wage / Salaried employment, Aadhaar card, Proof of Educational Qualification / Appearance for the VIII standard exams (Transfer Certificate, SSLC, etc.), Passport size photograph, Proof to establish membership of priority category, wherever applicable, Community Certificate (in case of Scheduled Caste (SC) and Scheduled Tribes (ST) category), Differently Abled Identity Card issued by a competent authority, Quotation/Pro-forma invoice of the vehicle., Note: Driving License / Learner License Registration (LLR) and age proof are mandatory at the time of applying. Any shortcomings should be intimated to the applicant in the acknowledgment slip (Annexure C1)."
